epoch,train_loss,train_acc,val_loss,val_acc,lr,time_s
1,0.693937,0.7348,0.653716,0.7506,1.0e-03,1.6
2,0.636903,0.7640,0.616118,0.7744,1.0e-03,1.0
3,0.600669,0.7819,0.597472,0.7855,9.9e-04,1.0
4,0.574011,0.7944,0.581328,0.7917,9.8e-04,1.0
5,0.553380,0.8035,0.575404,0.7950,9.8e-04,1.0
6,0.537490,0.8093,0.567851,0.7968,9.7e-04,1.1
7,0.524368,0.8148,0.562809,0.7921,9.5e-04,1.1
8,0.512640,0.8197,0.561004,0.8016,9.4e-04,1.0
9,0.503075,0.8233,0.560845,0.7985,9.2e-04,1.0
10,0.494366,0.8256,0.555691,0.8011,9.1e-04,1.1
11,0.486381,0.8293,0.557195,0.7977,8.9e-04,1.0
12,0.479442,0.8319,0.560418,0.7995,8.7e-04,1.0
13,0.472559,0.8345,0.560529,0.7981,8.4e-04,1.0
14,0.466127,0.8377,0.561740,0.7893,8.2e-04,1.0
15,0.460090,0.8393,0.563649,0.7931,8.0e-04,1.0
16,0.454807,0.8418,0.565532,0.7894,7.7e-04,1.0
17,0.449542,0.8439,0.567851,0.7845,7.4e-04,1.0
18,0.444962,0.8452,0.568776,0.7943,7.2e-04,1.0
19,0.440262,0.8466,0.574971,0.7901,6.9e-04,1.1
20,0.436104,0.8482,0.573725,0.7866,6.6e-04,1.0
21,0.431767,0.8504,0.576598,0.7834,6.3e-04,1.0
22,0.427862,0.8515,0.579124,0.7752,6.0e-04,1.0
23,0.424269,0.8529,0.584137,0.7873,5.7e-04,1.0
24,0.421012,0.8543,0.587346,0.7918,5.4e-04,1.0
25,0.417512,0.8555,0.584444,0.7832,5.0e-04,1.0
26,0.414544,0.8567,0.591793,0.7892,4.7e-04,1.0
27,0.411351,0.8578,0.589655,0.7865,4.4e-04,1.1
28,0.408885,0.8586,0.593914,0.7819,4.1e-04,1.0
29,0.405810,0.8599,0.599342,0.7794,3.8e-04,1.0
30,0.403440,0.8604,0.603876,0.7882,3.5e-04,1.0
31,0.401126,0.8617,0.602422,0.7852,3.2e-04,1.0
32,0.398653,0.8624,0.604327,0.7792,2.9e-04,1.1
33,0.396319,0.8640,0.605809,0.7762,2.7e-04,1.0
34,0.394343,0.8639,0.608824,0.7742,2.4e-04,1.0
35,0.392571,0.8654,0.614743,0.7826,2.1e-04,1.0
36,0.390690,0.8661,0.616332,0.7825,1.9e-04,1.0
37,0.389061,0.8668,0.614703,0.7806,1.7e-04,1.1
38,0.387401,0.8672,0.617762,0.7816,1.4e-04,1.1
39,0.386244,0.8680,0.619592,0.7765,1.2e-04,1.1
40,0.384860,0.8684,0.618682,0.7774,1.0e-04,1.0
41,0.383753,0.8685,0.619768,0.7794,8.7e-05,1.1
42,0.382849,0.8693,0.619601,0.7767,7.1e-05,1.1
43,0.382011,0.8697,0.622351,0.7750,5.7e-05,1.1
44,0.381282,0.8699,0.621802,0.7788,4.5e-05,1.0
45,0.380680,0.8704,0.623402,0.7778,3.4e-05,1.0
46,0.380177,0.8705,0.622835,0.7750,2.6e-05,1.1
47,0.379823,0.8707,0.624417,0.7777,1.9e-05,1.1
48,0.379489,0.8708,0.624358,0.7770,1.4e-05,1.0
49,0.379246,0.8711,0.624201,0.7762,1.1e-05,1.1
50,0.379137,0.8709,0.624919,0.7781,1.0e-05,1.0
