epoch,train_loss,train_acc,val_loss,val_acc,lr,time_s
1,0.745126,0.7209,0.725380,0.7285,1.0e-03,3.0
2,0.728339,0.7136,0.718964,0.7165,1.0e-03,0.7
3,0.716419,0.7122,0.715729,0.7181,9.9e-04,0.7
4,0.704779,0.7143,0.715023,0.7131,9.8e-04,0.7
5,0.693795,0.7180,0.714807,0.7079,9.8e-04,0.7
6,0.684100,0.7216,0.737246,0.7193,9.7e-04,0.7
7,0.673984,0.7253,0.719766,0.6976,9.5e-04,0.7
8,0.665388,0.7292,0.742661,0.7093,9.4e-04,0.7
9,0.655636,0.7331,0.732257,0.6856,9.2e-04,0.7
10,0.646641,0.7366,0.734215,0.6804,9.1e-04,0.7
11,0.637776,0.7411,0.742300,0.6825,8.9e-04,0.7
12,0.628209,0.7455,0.746210,0.6688,8.7e-04,0.7
13,0.619207,0.7513,0.759870,0.6703,8.4e-04,0.7
14,0.610914,0.7548,0.766379,0.6399,8.2e-04,0.7
15,0.601865,0.7588,0.781030,0.6939,8.0e-04,0.7
16,0.594334,0.7623,0.799246,0.7011,7.7e-04,0.7
17,0.585882,0.7676,0.790830,0.6696,7.4e-04,0.7
18,0.579172,0.7710,0.794634,0.6633,7.2e-04,0.7
19,0.571286,0.7747,0.817642,0.6704,6.9e-04,0.7
20,0.565239,0.7776,0.817188,0.6721,6.6e-04,0.7
21,0.558380,0.7806,0.823120,0.6615,6.3e-04,0.7
22,0.552514,0.7828,0.834543,0.6469,6.0e-04,0.7
23,0.547045,0.7857,0.849266,0.6695,5.7e-04,0.7
24,0.542269,0.7878,0.853770,0.6640,5.4e-04,0.7
25,0.536167,0.7911,0.861949,0.6732,5.0e-04,0.7
26,0.531197,0.7937,0.879461,0.6690,4.7e-04,0.7
27,0.526360,0.7952,0.882810,0.6620,4.4e-04,0.7
28,0.522304,0.7973,0.884184,0.6696,4.1e-04,0.7
29,0.518052,0.7997,0.886145,0.6521,3.8e-04,0.7
30,0.513675,0.8010,0.904709,0.6705,3.5e-04,0.7
31,0.510107,0.8030,0.903417,0.6562,3.2e-04,0.7
32,0.506569,0.8050,0.915165,0.6670,2.9e-04,0.7
33,0.503566,0.8068,0.916033,0.6587,2.7e-04,0.7
34,0.500354,0.8082,0.912860,0.6400,2.4e-04,0.7
35,0.497638,0.8101,0.918358,0.6464,2.1e-04,0.7
36,0.494864,0.8112,0.926569,0.6478,1.9e-04,0.7
37,0.492305,0.8121,0.936671,0.6588,1.7e-04,0.7
38,0.490089,0.8133,0.932750,0.6472,1.4e-04,0.7
39,0.487831,0.8144,0.938841,0.6542,1.2e-04,0.7
40,0.485887,0.8155,0.943371,0.6544,1.0e-04,0.7
41,0.484256,0.8164,0.941861,0.6438,8.7e-05,0.7
42,0.482730,0.8172,0.947827,0.6530,7.1e-05,0.7
43,0.481386,0.8177,0.950730,0.6544,5.7e-05,0.7
44,0.480136,0.8183,0.952474,0.6534,4.5e-05,0.7
45,0.479051,0.8187,0.949602,0.6471,3.4e-05,0.7
46,0.478276,0.8194,0.952029,0.6491,2.6e-05,0.7
47,0.477572,0.8195,0.951292,0.6493,1.9e-05,0.7
48,0.477007,0.8198,0.954427,0.6523,1.4e-05,0.7
49,0.476615,0.8203,0.953908,0.6506,1.1e-05,0.7
50,0.476364,0.8203,0.953268,0.6502,1.0e-05,0.7
