iteration,mean_survival,mean_return,loss,mean_value,entropy,lr,eval_survival,jump_ratio,time_s
0,,,,,,1.0e-04,20.21,0.16,0.0
1,23.47,17.9038,40.0966,0.8907,0.5031,1.0e-04,,,21.2
2,24.14,19.0488,21.6080,7.9230,0.4569,1.0e-04,,,5.9
3,22.14,17.1938,29.5732,14.7500,0.4727,1.0e-04,,,5.8
4,22.10,17.2842,40.5129,18.6357,0.4584,1.0e-04,,,5.8
5,21.85,16.9570,50.6415,20.7604,0.4670,1.0e-04,,,5.8
6,23.84,18.7153,52.1467,22.9375,0.4921,1.0e-04,,,5.8
7,23.97,18.6304,57.5342,24.5089,0.5139,1.0e-04,,,6.1
8,23.02,17.6709,64.8613,25.2359,0.5446,1.0e-04,,,5.9
9,21.90,16.6147,72.2514,25.5033,0.5419,1.0e-04,,,5.0
10,23.51,18.0371,69.4874,26.7469,0.5475,1.0e-04,20.24,0.25,5.0
11,23.31,17.6909,72.1142,28.1219,0.5398,1.0e-04,,,5.9
12,22.69,17.2812,83.4947,27.2549,0.5299,1.0e-04,,,5.9
13,23.97,18.4224,74.3129,27.5104,0.5310,1.0e-04,,,5.1
14,21.82,16.5225,77.2320,27.4583,0.5335,1.0e-04,,,5.8
15,24.50,18.7949,75.5183,29.0134,0.5499,1.0e-04,,,5.0
16,24.90,19.1377,78.1551,29.9474,0.5596,1.0e-04,,,5.0
17,23.80,18.0234,86.6606,29.8719,0.5518,1.0e-04,,,5.9
18,23.33,17.7036,84.5977,29.1484,0.5381,1.0e-04,,,5.9
19,22.96,17.4180,87.8825,28.4750,0.5609,1.0e-04,,,6.1
20,24.12,18.4800,86.2558,29.5818,0.5443,1.0e-04,21.11,0.21,5.9
21,23.83,18.3408,90.4968,30.0828,0.5383,1.0e-04,,,5.8
22,24.84,19.0020,89.3780,31.4732,0.5551,1.0e-04,,,5.8
23,23.39,17.5571,100.0162,29.7984,0.5573,1.0e-04,,,5.0
24,22.74,17.0635,92.0443,29.6513,0.5633,1.0e-04,,,5.8
25,22.98,17.2026,94.0152,30.0141,0.5618,1.0e-04,,,5.0
26,24.05,18.0947,87.6536,29.6637,0.5634,1.0e-04,,,5.9
27,25.25,19.2373,86.3838,32.4773,0.5611,1.0e-04,,,5.9
28,22.97,17.2451,98.7309,30.1547,0.5795,1.0e-04,,,5.0
29,24.15,18.2300,91.5154,30.5729,0.5738,1.0e-04,,,5.9
30,24.55,18.4399,94.7027,31.4866,0.5579,1.0e-04,22.05,0.32,5.0
31,23.94,18.0889,97.7885,30.4360,0.5519,1.0e-04,,,3.4
32,23.51,17.8442,102.7168,31.2000,0.5583,1.0e-04,,,5.0
33,24.73,18.8735,98.6356,32.1801,0.5522,1.0e-04,,,5.9
34,23.76,17.9214,101.6284,31.8641,0.5564,1.0e-04,,,5.9
35,24.88,19.0132,99.2072,31.9137,0.5534,1.0e-04,,,6.0
36,23.48,17.8721,102.9715,32.1969,0.5585,1.0e-04,,,5.0
37,25.82,19.9858,103.4410,33.2287,0.5567,1.0e-04,,,5.9
38,23.41,17.5962,112.1696,32.9766,0.5544,1.0e-04,,,5.0
39,23.94,18.2622,118.8541,33.2411,0.5591,1.0e-04,,,5.0
40,24.83,18.8481,108.1777,33.6399,0.5772,1.0e-04,22.79,0.35,3.4
41,23.51,17.6494,113.0483,32.6953,0.5789,1.0e-04,,,5.0
42,25.04,18.7661,118.1012,35.1335,0.5655,1.0e-04,,,5.0
43,23.97,18.0596,120.2882,35.3631,0.5615,1.0e-04,,,5.1
44,24.32,18.2046,109.1536,32.9747,0.5736,1.0e-04,,,6.5
45,24.17,18.1904,116.1424,33.6071,0.5619,1.0e-04,,,6.5
