epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,gap,lr,time_s
1,6.576616,6.576616,0.0048,0.0000,0.0000,0.0000,6.350341,6.350341,0.0112,0.0000,0.0000,0.0000,-0.2263,4.2e-04,90.1
2,4.873416,4.873416,0.0864,0.0000,0.0000,0.0000,4.047384,4.047384,0.1511,0.0000,0.0000,0.0000,-0.8260,8.1e-04,74.4
3,4.076846,4.076846,0.1413,0.6946,0.2929,0.4120,3.720116,3.720116,0.1812,0.3528,0.6010,0.4446,-0.3567,1.2e-03,74.6
4,3.850361,3.850361,0.1620,0.7520,0.5268,0.6196,3.573944,3.573944,0.1962,0.4457,0.6463,0.5276,-0.2764,1.6e-03,74.3
5,3.742694,3.742694,0.1733,0.7873,0.6246,0.6966,3.498885,3.498885,0.2055,0.7239,0.4668,0.5676,-0.2438,2.0e-03,74.6
6,3.668128,3.668128,0.1816,0.8080,0.6875,0.7429,3.437497,3.437497,0.2126,0.5800,0.7302,0.6465,-0.2306,2.0e-03,74.4
7,3.596008,3.596008,0.1907,0.8290,0.7421,0.7832,3.377489,3.377489,0.2206,0.4648,0.8541,0.6020,-0.2185,2.0e-03,74.3
8,3.541586,3.541586,0.1977,0.8438,0.7713,0.8059,3.345436,3.345436,0.2259,0.6546,0.7210,0.6862,-0.1961,2.0e-03,74.4
9,3.500627,3.500627,0.2030,0.8508,0.7962,0.8226,3.301443,3.301443,0.2317,0.6650,0.7668,0.7123,-0.1992,2.0e-03,74.4
10,3.465340,3.465340,0.2078,0.8594,0.8090,0.8334,3.276556,3.276556,0.2356,0.6682,0.7927,0.7251,-0.1888,2.0e-03,74.7
11,3.432485,3.432485,0.2123,0.8623,0.8208,0.8410,3.248092,3.248092,0.2400,0.5629,0.8707,0.6838,-0.1844,2.0e-03,74.3
12,3.405514,3.405514,0.2162,0.8689,0.8301,0.8490,3.227309,3.227309,0.2438,0.6787,0.8141,0.7403,-0.1782,2.0e-03,74.6
13,3.381104,3.381104,0.2195,0.8710,0.8348,0.8525,3.196216,3.196216,0.2476,0.6288,0.8527,0.7238,-0.1849,2.0e-03,74.4
14,3.359200,3.359200,0.2227,0.8755,0.8411,0.8580,3.181423,3.181423,0.2499,0.4829,0.9215,0.6337,-0.1778,2.0e-03,74.4
15,3.340515,3.340515,0.2253,0.8778,0.8484,0.8629,3.164679,3.164679,0.2522,0.5688,0.8898,0.6939,-0.1758,2.0e-03,74.3
16,3.323861,3.323861,0.2277,0.8799,0.8518,0.8656,3.150509,3.150509,0.2551,0.5455,0.9156,0.6837,-0.1734,2.0e-03,74.4
17,3.306853,3.306853,0.2302,0.8835,0.8601,0.8716,3.139669,3.139669,0.2569,0.5698,0.9020,0.6984,-0.1672,2.0e-03,74.7
18,3.295022,3.295022,0.2322,0.8828,0.8198,0.8502,3.124656,3.124656,0.2591,0.6660,0.8737,0.7559,-0.1704,2.0e-03,74.4
19,3.279955,3.279955,0.2343,0.8810,0.8544,0.8675,3.111837,3.111837,0.2606,0.6152,0.8868,0.7265,-0.1681,2.0e-03,74.7
20,3.263958,3.263958,0.2365,0.8880,0.8632,0.8755,3.109672,3.109672,0.2610,0.7231,0.8483,0.7807,-0.1543,2.0e-03,74.4
21,3.253567,3.253567,0.2382,0.8927,0.8718,0.8821,3.097533,3.097533,0.2630,0.5788,0.9078,0.7069,-0.1560,2.0e-03,74.3
22,3.242437,3.242437,0.2397,0.8917,0.8732,0.8823,3.091480,3.091480,0.2643,0.6470,0.8878,0.7485,-0.1510,2.0e-03,74.4
23,3.230907,3.230907,0.2414,0.8929,0.8762,0.8844,3.082230,3.082230,0.2658,0.6869,0.8659,0.7661,-0.1487,2.0e-03,74.3
24,3.220683,3.220683,0.2431,0.8941,0.8747,0.8843,3.078201,3.078201,0.2660,0.6602,0.8834,0.7557,-0.1425,2.0e-03,74.6
25,3.209640,3.209640,0.2448,0.8963,0.8795,0.8878,3.069705,3.069705,0.2670,0.7079,0.8737,0.7821,-0.1399,1.9e-03,74.3
26,3.202371,3.202371,0.2460,0.8989,0.8824,0.8906,3.062289,3.062289,0.2687,0.5441,0.9351,0.6880,-0.1401,1.9e-03,74.7
27,3.193546,3.193546,0.2472,0.8973,0.8774,0.8872,3.053060,3.053060,0.2704,0.6254,0.9024,0.7388,-0.1405,1.9e-03,74.4
28,3.185548,3.185548,0.2486,0.8978,0.8846,0.8911,3.053965,3.053965,0.2698,0.7036,0.8756,0.7803,-0.1316,1.9e-03,74.3
29,3.176215,3.176215,0.2498,0.8994,0.8869,0.8931,3.044782,3.044782,0.2715,0.6874,0.8883,0.7751,-0.1314,1.9e-03,74.4
